"date","Plate.SN","DIV","well","trt","dose","units","file.name","wt.mean.resistance"
"20211103","MW502622D",0,"A1","Tributyltin Chloride",0.03,"uM","iNFA_20211103_MW502622D_00_(000)(000)_Compiler.csv",12.837485
"20211103","MW502622D",0,"A2","DMSO",0,"uM","iNFA_20211103_MW502622D_00_(000)(000)_Compiler.csv",12.446222
"20211103","MW502622D",0,"A3","Tributyltin Chloride",0.1,"uM","iNFA_20211103_MW502622D_00_(000)(000)_Compiler.csv",9.975885
"20211103","MW502622D",0,"A4","Tributyltin Chloride",0.3,"uM","iNFA_20211103_MW502622D_00_(000)(000)_Compiler.csv",10.977247
"20211103","MW502622D",0,"A5","Tributyltin Chloride",1,"uM","iNFA_20211103_MW502622D_00_(000)(000)_Compiler.csv",11.495319
"20211103","MW502622D",0,"A6","Tributyltin Chloride",3,"uM","iNFA_20211103_MW502622D_00_(000)(000)_Compiler.csv",11.374973
"20211103","MW502622D",0,"A7","Tributyltin Chloride",10,"uM","iNFA_20211103_MW502622D_00_(000)(000)_Compiler.csv",10.240451
"20211103","MW502622D",0,"A8","Tributyltin Chloride",30,"uM","iNFA_20211103_MW502622D_00_(000)(000)_Compiler.csv",11.114264
"20211103","MW502622D",0,"B1","Deltamethrin",0.03,"uM","iNFA_20211103_MW502622D_00_(000)(000)_Compiler.csv",11.768986
"20211103","MW502622D",0,"B2","EtOH:DMSO",0,"uM","iNFA_20211103_MW502622D_00_(000)(000)_Compiler.csv",10.277276
"20211103","MW502622D",0,"B3","Deltamethrin",0.1,"uM","iNFA_20211103_MW502622D_00_(000)(000)_Compiler.csv",11.819143
"20211103","MW502622D",0,"B4","Deltamethrin",0.3,"uM","iNFA_20211103_MW502622D_00_(000)(000)_Compiler.csv",10.061038
"20211103","MW502622D",0,"B5","Deltamethrin",1,"uM","iNFA_20211103_MW502622D_00_(000)(000)_Compiler.csv",10.807373
"20211103","MW502622D",0,"B6","Deltamethrin",3,"uM","iNFA_20211103_MW502622D_00_(000)(000)_Compiler.csv",10.478627
"20211103","MW502622D",0,"B7","Deltamethrin",10,"uM","iNFA_20211103_MW502622D_00_(000)(000)_Compiler.csv",11.571615
"20211103","MW502622D",0,"B8","Deltamethrin",30,"uM","iNFA_20211103_MW502622D_00_(000)(000)_Compiler.csv",10.362919
"20211103","MW502622D",0,"C1","Thiamethoxam",0.03,"uM","iNFA_20211103_MW502622D_00_(000)(000)_Compiler.csv",10.352037
"20211103","MW502622D",0,"C2","DMSO",0,"uM","iNFA_20211103_MW502622D_00_(000)(000)_Compiler.csv",10.458197
"20211103","MW502622D",0,"C3","Thiamethoxam",0.1,"uM","iNFA_20211103_MW502622D_00_(000)(000)_Compiler.csv",10.298117
"20211103","MW502622D",0,"C4","Thiamethoxam",0.3,"uM","iNFA_20211103_MW502622D_00_(000)(000)_Compiler.csv",11.485468
"20211103","MW502622D",0,"C5","Thiamethoxam",1,"uM","iNFA_20211103_MW502622D_00_(000)(000)_Compiler.csv",9.383234
"20211103","MW502622D",0,"C6","Thiamethoxam",3,"uM","iNFA_20211103_MW502622D_00_(000)(000)_Compiler.csv",10.567252
"20211103","MW502622D",0,"C7","Thiamethoxam",10,"uM","iNFA_20211103_MW502622D_00_(000)(000)_Compiler.csv",11.362289
"20211103","MW502622D",0,"C8","Thiamethoxam",30,"uM","iNFA_20211103_MW502622D_00_(000)(000)_Compiler.csv",10.192622
"20211103","MW502622D",0,"D1","Lindane",0.03,"uM","iNFA_20211103_MW502622D_00_(000)(000)_Compiler.csv",10.011256
"20211103","MW502622D",0,"D2","EtOH",0,"uM","iNFA_20211103_MW502622D_00_(000)(000)_Compiler.csv",10.794975
"20211103","MW502622D",0,"D3","Lindane",0.1,"uM","iNFA_20211103_MW502622D_00_(000)(000)_Compiler.csv",11.696754
